seq,op,marginal,standalone,absorbed,absorb_pct,cum_total,cum_io,cum_comp
512,q,181047,181047,0,0.0,181047,82304,140694
512,k,24390,69878,45488,65.1,205437,99533,178273
512,v,30213,69878,39665,56.8,235650,116762,215852
512,o,136392,181047,44655,24.7,372042,184594,373259
512,gate,541757,578518,36761,6.4,913799,457427,915593
512,up,529440,578518,49078,8.5,1443239,729491,1445033
512,down,615698,608124,-7574,-1.2,2058937,978895,2171650
