seq,op,prefix_L,marginal,standalone,absorbed,absorb_pct
128,q,57.4,57.4,49.6,-7.8,-15.8
128,k,57.9,0.5,41.9,41.4,98.8
128,v,64.1,6.2,42.6,36.4,85.5
128,o,74.6,10.5,52.3,41.8,80.0
128,gate,132.7,58.2,87.1,28.9,33.2
128,up,167.3,34.6,88.8,54.2,61.0
128,down,193.8,26.4,86.1,59.7,69.3
