seq,op,marginal,standalone,absorbed,absorb_pct,cum_total,cum_io,cum_comp
128,q,82084,82084,0,0.0,82084,61376,43606
128,k,8276,29641,21365,72.1,90360,76157,55425
128,v,13633,29641,16008,54.0,103993,90938,65054
128,o,67881,82084,14203,17.3,171874,152314,108660
128,gate,228485,256861,28376,11.0,400359,384938,335235
128,up,218648,256861,38213,14.9,619007,613583,530380
128,down,214729,251440,36711,14.6,833736,833736,700248
