seq,op,marginal,standalone,absorbed,absorb_pct,cum_total,cum_io,cum_comp
1024,q,334626,334626,0,0.0,334626,109988,289509
1024,k,70251,116947,46696,39.9,404877,143574,351664
1024,v,59780,116947,57167,48.9,464657,164067,417844
1024,o,272696,334626,61930,18.5,737353,247422,707328
1024,gate,1091482,1130253,38771,3.4,1828835,579558,1799309
1024,up,1058912,1130253,71341,6.3,2887747,911694,2858221
1024,down,1230304,1189667,-40637,-3.4,4118051,1334978,4178500
