id,input_len,output_len
0,64,1
1,127,1
2,129,1
3,255,1
4,257,1
5,511,1
6,513,1
7,1023,1
8,1025,1
9,2047,1
10,2049,1
11,4095,1
12,4097,1
13,8191,1
14,32,20
15,32,90
16,130,20
17,130,120
18,260,30
19,260,240
20,520,30
21,520,490
22,1030,30
23,1030,1010
24,2050,30
25,2050,1500
26,4100,30
27,4100,1500
