id,input_len,output_len
0,300,20
1,300,80
2,300,140
3,300,200
4,800,20
5,800,80
6,800,140
7,800,200
8,1800,20
9,1800,80
10,1800,140
11,1800,200
12,3800,20
13,3800,80
14,3800,140
15,3800,200
16,7900,20
17,7900,80
18,7900,140
19,7900,200
