id,input_len,output_len
0,800,20
1,800,100
2,800,180
3,1800,20
4,1800,100
5,1800,180
6,3800,20
7,3800,100
8,3800,180
9,7800,20
10,7800,100
11,7800,180
12,15700,20
13,15700,100
14,15700,180
