npe,B,T,D,dtype,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,512,1024,bfloat16,triple,3,SAM,S->A->M,70.08400000003166,59.87200000032317,25.11800000013318,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,triple,3,SAA,S->A->A,37.50500000000466,22.31200000003446,22.459000000031665,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,triple,3,SAS,S->A->S,29.258999999961816,17.26300000003539,16.709000000031665,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,triple,3,SSM,S->S->M,72.35400000005029,62.62699999997858,19.73200000007637,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,triple,3,SSA,S->S->A,28.125,16.916000000201166,16.75900000007823,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,triple,3,SSS,S->S->S,31.67399999999907,20.5089999998454,11.108999999938533,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMMM,M->M->M->M,225.1030000000028,196.1449999997858,52.58300000010058,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMMA,M->M->M->A,174.41299999994226,151.77299999969546,47.7579999997979,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMMS,M->M->M->S,179.52500000002328,156.7270000000717,41.9419999999227,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMAM,M->M->A->M,172.37800000002608,149.75299999979325,47.07699999993201,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MMAA,M->M->A->A,121.60100000002421,105.17299999971874,42.925000000046566,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
