family,sequence,position,op,left,right,op_coef,left_coef,right_coef,ctx_coef,token_contribution
attn_tail,QSAO,0,Q,BOS,S,3.366629664437593,3.366629664437594,0.730049440715973,0.7300494407159774,8.193358210307137
attn_tail,QSAO,1,S,Q,A,3.8159283758350675,0.7300494407159739,0.4964642102604767,-1.4750504630881216,3.5673915637233966
attn_tail,QSAO,2,A,S,O,12.910731958961291,0.4964642102604761,10.146490092604635,5.641601556863232,29.195287818689632
attn_tail,QSAO,3,O,A,EOS,37.57251896406325,10.146490092604632,27.906416582155387,10.273898790973073,85.89932442979634
attn_tail,SAOR,0,S,BOS,A,3.8159283758350675,3.0858789351191134,0.4964642102604767,1.9715146733485787,9.369786194563236
attn_tail,SAOR,1,A,S,O,12.910731958961291,0.4964642102604761,10.146490092604635,5.641601556863232,29.195287818689632
attn_tail,SAOR,2,O,A,R,37.57251896406325,10.146490092604632,9.66610238190775,-0.12740869836842786,57.2577027402072
attn_tail,SAOR,3,R,O,EOS,8.226061429141302,9.66610238190776,8.226061429141298,9.666102381907763,35.78432762209812
mlp_tail,GIXD,0,G,BOS,I,80.13165635089254,80.13165635089253,27.366760584795085,27.366760584795106,214.99683387137526
mlp_tail,GIXD,1,I,G,X,29.58392380080282,27.366760584795067,7.697325119267383,4.6128190540763985,69.26082855894167
mlp_tail,GIXD,2,X,I,D,25.95234338326151,7.697325119267386,24.19387570749758,13.679942781980655,71.52348699200714
mlp_tail,GIXD,3,D,X,EOS,81.89885085962773,24.193875707497572,66.04880498070135,22.19012047693349,194.33165202476013
mlp_tail,IXDR,0,I,BOS,X,29.58392380080282,2.217163216007676,7.697325119267383,3.0845060651909266,42.582918201268804
mlp_tail,IXDR,1,X,I,D,25.95234338326151,7.697325119267386,24.19387570749758,13.679942781980655,71.52348699200714
mlp_tail,IXDR,2,D,X,R,81.89885085962773,24.193875707497572,15.850045878926398,2.003755230564035,123.94652767661573
mlp_tail,IXDR,3,R,D,EOS,21.896227527352295,15.850045878926405,21.89622752735229,15.850045878926366,75.49254681255735
