npe,kind,name,S,task,tu,dma,parallelcopy,cluster,span_names,error
8,component,qk_matmul,128,37.27899999998044,5.6919999999227,7.882999999914318,0.0,26.097000000067055,Cluster|DMA|Renegade::TuExec|Task,
8,component,softmax_scores,128,12.353000000002794,3.359000000054948,4.6890000000130385,0.0,3.7660000000614673,Cluster|DMA|Renegade::TuExec|Task,
8,component,av_matmul,128,14.785000000032596,5.689999999827705,6.947000000043772,0.0,3.5070000000996515,Cluster|DMA|Renegade::TuExec|Task,
8,component,o_proj,128,127.6359999999404,34.73399999993853,39.70799999986775,2.7799999999115244,62.87899999995716,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,chain,qk_softmax_av,128,21.24200000008568,7.944999999948777,7.109000000054948,0.0,0.6540000000968575,Cluster|DMA|Renegade::TuExec|Task,
8,chain,softmax_av_oproj_residual,128,132.83799999998882,41.881000000052154,45.021000000066124,1.6790000000037253,7.4630000001052395,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,component,qk_matmul,512,67.54599999997299,15.527000000001863,22.424000000115484,0.0,0.5960000000195578,Cluster|DMA|Renegade::TuExec|Task,
8,component,softmax_scores,512,81.93500000005588,17.033000000054017,33.228999999933876,0.0,3.240999999921769,Cluster|DMA|Renegade::TuExec|Task,
8,component,av_matmul,512,67.79399999999441,21.116999999969266,27.40100000007078,0.0,2.9540000000270084,Cluster|DMA|Renegade::TuExec|Task,
8,component,o_proj,512,312.1359999999404,135.99099999992177,55.717999999877065,4.615999999921769,140.01299999980256,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,chain,qk_softmax_av,512,130.77800000004936,73.63300000014715,26.678000000072643,0.0,41.29000000003725,Cluster|DMA|Renegade::TuExec|Task,
8,chain,softmax_av_oproj_residual,512,406.1030000000028,170.58000000019092,82.0150000002468,5.588999999919906,9.37300000002142,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,component,qk_matmul,2048,531.0310000000754,202.5500000002794,267.04300000006333,0.0,4.796000000089407,Cluster|DMA|Renegade::TuExec|Task,
8,component,softmax_scores,2048,846.8639999999432,272.85800000012387,424.82700000004843,0.0,4.625,Cluster|DMA|Renegade::TuExec|Task,
8,component,av_matmul,2048,586.1210000000428,214.50700000033248,265.1339999999618,0.0,1.3060000000987202,Cluster|DMA|Renegade::TuExec|Task,
8,component,o_proj,2048,784.216999999946,392.69699999992736,122.98999999999069,0.0,37.493999999947846,Cluster|DMA|Renegade::TuExec|Task,
8,chain,qk_softmax_av,2048,1234.545000000042,616.1129999998957,100.97399999992922,0.0,34.24700000009034,Cluster|DMA|Renegade::TuExec|Task,
8,chain,softmax_av_oproj_residual,2048,1694.6189999999478,784.7600000000093,421.4660000000149,0.0,14.844000000157394,Cluster|DMA|Renegade::TuExec|Task,
