npe,name,B,S,task,tu,dma,parallelcopy,cluster,stotrf,span_names,error
1,matmul_DxD,1,512,656.4830000000075,595.681999999797,211.66499999992084,0.0,0.0,136.287000000244,DMA|Renegade::StoTrf|Renegade::TuExec|Task,
1,mlp,1,512,4330.996000000043,4279.9460000003455,1245.49000000034,0.0,0.0,478.54100000008475,DMA|Renegade::StoTrf|Renegade::TuExec|Task,
1,attn,1,512,2670.560000000056,2640.3230000006733,900.6570000001229,0.0,0.0,409.4220000000205,DMA|Renegade::StoTrf|Renegade::TuExec|Task,
