npe,name,S,task,tu,dma,parallelcopy,cluster,span_names,error
8,qk_matmul,128,16.78200000000652,5.691999999806285,7.943000000086613,0.0,5.137000000104308,Cluster|DMA|Renegade::TuExec|Task,
8,softmax_scores,128,12.660999999963678,3.356000000028871,4.801000000094064,0.0,3.687000000034459,Cluster|DMA|Renegade::TuExec|Task,
8,av_matmul,128,14.994000000064261,5.6920000000391155,6.8570000000763685,0.0,3.6739999999990687,Cluster|DMA|Renegade::TuExec|Task,
8,rmsnorm,128,10.236000000033528,1.8040000000037253,3.7690000000875443,0.0,0.5309999999590218,Cluster|DMA|Renegade::TuExec|Task,
8,qkv_proj,128,268.8530000000028,110.63100000005215,89.58499999996275,0.0,0.6520000000018626,Cluster|DMA|Renegade::TuExec|Task,
8,o_proj,128,129.3869999999879,31.42200000002049,37.351000000024214,1.9660000000149012,59.57300000009127,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,residual_add,128,10.98499999998603,0.5639999998966232,4.1920000000391155,0.0,0.8320000000530854,Cluster|DMA|Renegade::TuExec|Task,
8,qk_matmul,512,67.46999999997206,15.363000000012107,22.086000000010245,0.0,0.5270000000018626,Cluster|DMA|Renegade::TuExec|Task,
8,softmax_scores,512,81.3179999999702,16.9670000000624,32.586000000010245,0.0,3.3100000000558794,Cluster|DMA|Renegade::TuExec|Task,
8,av_matmul,512,68.43000000005122,22.36699999985285,28.581000000005588,0.0,3.6169999999692664,Cluster|DMA|Renegade::TuExec|Task,
8,rmsnorm,512,24.88800000003539,6.439999999944121,14.148999999975786,0.0,3.2369999999646097,Cluster|DMA|Renegade::TuExec|Task,
8,qkv_proj,512,724.4810000000289,297.1630000000587,156.39200000010896,17.1490000000922,304.71000000007916,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,o_proj,512,308.64199999999255,139.54099999996834,50.19499999994878,7.256999999983236,146.0690000001341,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,residual_add,512,28.875,2.4720000000670552,15.069000000017695,0.0,4.685000000055879,Cluster|DMA|Renegade::TuExec|Task,
8,qk_matmul,2048,611.7050000000745,267.2290000000503,342.92900000012014,0.0,90.34600000001956,Cluster|DMA|Renegade::TuExec|Task,
8,softmax_scores,2048,845.5840000000317,274.01599999994505,424.90600000007544,0.0,4.220000000088476,Cluster|DMA|Renegade::TuExec|Task,
8,av_matmul,2048,576.9130000000587,215.26000000024214,263.0580000000773,0.0,1.168999999994412,Cluster|DMA|Renegade::TuExec|Task,
8,rmsnorm,2048,81.72000000008848,12.317000000039116,30.628000000026077,0.0,0.7140000000363216,Cluster|DMA|Renegade::TuExec|Task,
8,qkv_proj,2048,2208.064999999944,1005.2199999999721,683.9749999998603,128.545999999973,434.6199999997625,Cluster|DMA|Renegade::ParallelCopy|Renegade::TuExec|Task,
8,o_proj,2048,764.6269999999786,373.4320000000298,106.74099999992177,0.0,18.16400000010617,Cluster|DMA|Renegade::TuExec|Task,
8,residual_add,2048,94.27500000002328,4.647999999928288,42.39300000004005,0.0,0.8930000000400469,Cluster|DMA|Renegade::TuExec|Task,
